SeqNum,UtcDate,UtcTime,AcqTime,PDOP,Long,Lat,Alt.m.,TotCount.cps.,Potassium...,Uranium.ppm.,Thorium.ppm.,UpDet.cps.,X.meters.,X.meters..1,xy
72268,19/3/2024,1:00:38,999994,2.10191,149.8854344,-30.2656231,296.5805,1652.15937,3.16521,3.41141,4.10813,7.00916,296.603,100,TRUE
72269,19/3/2024,1:00:39,999993,2.10192,149.8854414,-30.2655983,297.5458,1780.26042,2.77488,3.25855,16.62907,9.00638,297.569,100,TRUE
72270,19/3/2024,1:00:40,999994,2.10192,149.8854493,-30.265573,298.0182,1767.07261,3.16959,-1.56057,15.35662,3.00182,298.041,100,TRUE
72271,19/3/2024,1:00:41,999993,2.10193,149.8854564,-30.2655466,298.1515,1656.83577,3.56435,0.66136,11.55213,5.00555,298.174,100,TRUE
72272,19/3/2024,1:00:42,999994,2.10193,149.8854674,-30.2655205,297.3241,1659.17304,4.05029,1.56435,16.81057,7.00495,297.347,100,TRUE
72273,19/3/2024,1:00:43,999994,2.10194,149.8854798,-30.2654957,297.0397,1696.36897,4.35113,-0.44994,13.454040000000001,4.00323,297.063,100,TRUE
72274,19/3/2024,1:00:44,999993,2.14023,149.8854912,-30.265473,296.8023,1695.03058,3.53122,2.61773,9.54856,7.00426,296.825,100,TRUE
72275,19/3/2024,1:00:45,999993,2.10195,149.885499,-30.2654517,296.3094,1638.32377,2.82949,1.24442,13.27252,6.00485,296.332,100,TRUE
72276,19/3/2024,1:00:46,999994,2.10196,149.8855071,-30.265428,295.8692,1647.98912,3.97164,3.14734,5.92357,7.00846,295.892,100,TRUE
72277,19/3/2024,1:00:47,999994,2.10196,149.8855172,-30.2654036,295.5471,1629.64105,3.0266,2.35584,11.36913,7.00706,295.57,100,TRUE
72278,19/3/2024,1:00:48,999993,2.10197,149.885527,-30.2653803,295.7418,1671.8493,3.68902,0.45343,18.71231,6.00305,295.765,100,TRUE
72279,19/3/2024,1:00:49,999994,2.10197,149.8855372,-30.2653554,295.3579,1661.17445,3.70952,4.36908,14.72309,10.00708,295.381,100,TRUE
72280,19/3/2024,1:00:50,999993,2.10198,149.8855467,-30.2653323,295.1591,1656.00685,1.90354,1.30063,18.62368,7.00426,295.182,100,TRUE
72281,19/3/2024,1:00:51,999993,2.10198,149.8855577,-30.2653093,295.0362,1718.73248,3.07164,2.14909,18.54136,8.00807,295.059,100,TRUE
72282,19/3/2024,1:00:52,999994,2.10198,149.8855703,-30.2652851,294.4161,1682.85321,3.43837,-0.13011,16.98819,5.00254,294.439,100,TRUE
72283,19/3/2024,1:00:53,999993,2.10199,149.8855806,-30.2652609,294.9755,1569.95453,3.39835,0.66029,11.54509,5.00304,294.998,100,TRUE
72284,19/3/2024,1:00:54,999994,2.10199,149.8855897,-30.2652357,295.9171,1610.13837,2.72522,2.88159,7.73455,7.00495,295.94,100,TRUE
72285,19/3/2024,1:00:55,999993,2.10199,149.8855985,-30.2652127,296.2407,1645.16478,3.71638,-2.08748,18.98884,3.00213,296.263,100,TRUE
72286,19/3/2024,1:00:56,999994,2.10199,149.8856073,-30.2651906,296.754,1601.9724,3.45382,3.20132,11.27282,8.00486,296.777,100,TRUE
72287,19/3/2024,1:00:57,999993,2.10199,149.885618,-30.2651667,296.4514,1667.18036,4.27446,3.20179,11.27422,8.00567,296.474,100,TRUE
72288,19/3/2024,1:00:58,999994,2.102,149.8856269,-30.2651419,296.0872,1730.05014,3.62127,2.20439,23.88723,9.00547,296.11,100,TRUE
72289,19/3/2024,1:00:59,999993,2.102,149.8856375,-30.2651165,295.6944,1712.87014,3.12421,0.13329,15.17337,5.00254,295.717,100,TRUE
72290,19/3/2024,1:01:00,999994,2.102,149.8856476,-30.2650913,295.5897,1637.99426,2.11844,1.77072,9.6393,6.00364,295.612,100,TRUE
72291,19/3/2024,1:01:01,999993,2.102,149.8856585,-30.2650655,295.4001,1631.66572,2.44252,4.25386,4.01143,8.00327,295.423,100,TRUE
